pair,training_method,task,seed,interface,condition,category,category_label,count,rate,n
label_only_sft,label_only,rev_util_helpfulness,42,cot,LC,adjacent_error,相邻错误,376,0.376,1000
label_only_sft,label_only,rev_util_helpfulness,42,cot,LC,severe_error,严重错误,21,0.021,1000
label_only_sft,label_only,rev_util_helpfulness,42,cot,LC,invalid_format,格式无效,1,0.001,1000
label_only_sft,label_only,rev_util_helpfulness,43,label_only,LL,correct,正确,592,0.592,1000
label_only_sft,label_only,rev_util_helpfulness,43,label_only,LL,adjacent_error,相邻错误,395,0.395,1000
label_only_sft,label_only,rev_util_helpfulness,43,label_only,LL,severe_error,严重错误,13,0.013,1000
label_only_sft,label_only,rev_util_helpfulness,43,label_only,LL,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,43,cot,LC,correct,正确,604,0.604,1000
label_only_sft,label_only,rev_util_helpfulness,43,cot,LC,adjacent_error,相邻错误,370,0.37,1000
label_only_sft,label_only,rev_util_helpfulness,43,cot,LC,severe_error,严重错误,26,0.026,1000
label_only_sft,label_only,rev_util_helpfulness,43,cot,LC,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,44,label_only,LL,correct,正确,606,0.606,1000
label_only_sft,label_only,rev_util_helpfulness,44,label_only,LL,adjacent_error,相邻错误,381,0.381,1000
label_only_sft,label_only,rev_util_helpfulness,44,label_only,LL,severe_error,严重错误,13,0.013,1000
label_only_sft,label_only,rev_util_helpfulness,44,label_only,LL,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,44,cot,LC,correct,正确,595,0.595,1000
label_only_sft,label_only,rev_util_helpfulness,44,cot,LC,adjacent_error,相邻错误,388,0.388,1000
label_only_sft,label_only,rev_util_helpfulness,44,cot,LC,severe_error,严重错误,16,0.016,1000
label_only_sft,label_only,rev_util_helpfulness,44,cot,LC,invalid_format,格式无效,1,0.001,1000
cot_sft,cot,rev_util_helpfulness,42,label_only,CL,correct,正确,570,0.57,1000
cot_sft,cot,rev_util_helpfulness,42,label_only,CL,adjacent_error,相邻错误,411,0.411,1000
cot_sft,cot,rev_util_helpfulness,42,label_only,CL,severe_error,严重错误,19,0.019,1000
cot_sft,cot,rev_util_helpfulness,42,label_only,CL,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,42,cot,CC,correct,正确,560,0.56,1000
cot_sft,cot,rev_util_helpfulness,42,cot,CC,adjacent_error,相邻错误,413,0.413,1000
cot_sft,cot,rev_util_helpfulness,42,cot,CC,severe_error,严重错误,27,0.027,1000
cot_sft,cot,rev_util_helpfulness,42,cot,CC,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,43,label_only,CL,correct,正确,546,0.546,1000
cot_sft,cot,rev_util_helpfulness,43,label_only,CL,adjacent_error,相邻错误,432,0.432,1000
cot_sft,cot,rev_util_helpfulness,43,label_only,CL,severe_error,严重错误,22,0.022,1000
cot_sft,cot,rev_util_helpfulness,43,label_only,CL,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,43,cot,CC,correct,正确,567,0.567,1000
cot_sft,cot,rev_util_helpfulness,43,cot,CC,adjacent_error,相邻错误,413,0.413,1000
cot_sft,cot,rev_util_helpfulness,43,cot,CC,severe_error,严重错误,20,0.02,1000
cot_sft,cot,rev_util_helpfulness,43,cot,CC,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,44,label_only,CL,correct,正确,566,0.566,1000
cot_sft,cot,rev_util_helpfulness,44,label_only,CL,adjacent_error,相邻错误,419,0.419,1000
cot_sft,cot,rev_util_helpfulness,44,label_only,CL,severe_error,严重错误,15,0.015,1000
cot_sft,cot,rev_util_helpfulness,44,label_only,CL,invalid_format,格式无效,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,44,cot,CC,correct,正确,553,0.553,1000
cot_sft,cot,rev_util_helpfulness,44,cot,CC,adjacent_error,相邻错误,426,0.426,1000
cot_sft,cot,rev_util_helpfulness,44,cot,CC,severe_error,严重错误,21,0.021,1000
cot_sft,cot,rev_util_helpfulness,44,cot,CC,invalid_format,格式无效,0,0.0,1000
label_only_sft,label_only,rev_util_verifiability,42,label_only,LL,correct,正确,480,0.6091370558375635,788
label_only_sft,label_only,rev_util_verifiability,42,label_only,LL,adjacent_error,相邻错误,248,0.3147208121827411,788
label_only_sft,label_only,rev_util_verifiability,42,label_only,LL,severe_error,严重错误,60,0.07614213197969544,788
label_only_sft,label_only,rev_util_verifiability,42,label_only,LL,invalid_format,格式无效,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,42,cot,LC,correct,正确,437,0.5545685279187818,788
label_only_sft,label_only,rev_util_verifiability,42,cot,LC,adjacent_error,相邻错误,251,0.31852791878172587,788
label_only_sft,label_only,rev_util_verifiability,42,cot,LC,severe_error,严重错误,100,0.12690355329949238,788
label_only_sft,label_only,rev_util_verifiability,42,cot,LC,invalid_format,格式无效,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,43,label_only,LL,correct,正确,470,0.5964467005076142,788
label_only_sft,label_only,rev_util_verifiability,43,label_only,LL,adjacent_error,相邻错误,255,0.3236040609137056,788
label_only_sft,label_only,rev_util_verifiability,43,label_only,LL,severe_error,严重错误,63,0.0799492385786802,788
label_only_sft,label_only,rev_util_verifiability,43,label_only,LL,invalid_format,格式无效,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,43,cot,LC,correct,正确,447,0.567258883248731,788
label_only_sft,label_only,rev_util_verifiability,43,cot,LC,adjacent_error,相邻错误,226,0.2868020304568528,788
label_only_sft,label_only,rev_util_verifiability,43,cot,LC,severe_error,严重错误,115,0.14593908629441624,788
label_only_sft,label_only,rev_util_verifiability,43,cot,LC,invalid_format,格式无效,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,44,label_only,LL,correct,正确,481,0.6104060913705583,788
label_only_sft,label_only,rev_util_verifiability,44,label_only,LL,adjacent_error,相邻错误,252,0.3197969543147208,788
label_only_sft,label_only,rev_util_verifiability,44,label_only,LL,severe_error,严重错误,55,0.06979695431472081,788
label_only_sft,label_only,rev_util_verifiability,44,label_only,LL,invalid_format,格式无效,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,44,cot,LC,correct,正确,440,0.5583756345177665,788
label_only_sft,label_only,rev_util_verifiability,44,cot,LC,adjacent_error,相邻错误,262,0.33248730964467005,788
label_only_sft,label_only,rev_util_verifiability,44,cot,LC,severe_error,严重错误,86,0.10913705583756345,788
label_only_sft,label_only,rev_util_verifiability,44,cot,LC,invalid_format,格式无效,0,0.0,788
cot_sft,cot,rev_util_verifiability,42,label_only,CL,correct,正确,333,0.42258883248730966,788
cot_sft,cot,rev_util_verifiability,42,label_only,CL,adjacent_error,相邻错误,421,0.5342639593908629,788
cot_sft,cot,rev_util_verifiability,42,label_only,CL,severe_error,严重错误,34,0.04314720812182741,788
cot_sft,cot,rev_util_verifiability,42,label_only,CL,invalid_format,格式无效,0,0.0,788
cot_sft,cot,rev_util_verifiability,42,cot,CC,correct,正确,401,0.5088832487309645,788
cot_sft,cot,rev_util_verifiability,42,cot,CC,adjacent_error,相邻错误,275,0.3489847715736041,788
cot_sft,cot,rev_util_verifiability,42,cot,CC,severe_error,严重错误,112,0.14213197969543148,788
cot_sft,cot,rev_util_verifiability,42,cot,CC,invalid_format,格式无效,0,0.0,788
cot_sft,cot,rev_util_verifiability,43,label_only,CL,correct,正确,369,0.4682741116751269,788
cot_sft,cot,rev_util_verifiability,43,label_only,CL,adjacent_error,相邻错误,382,0.4847715736040609,788
cot_sft,cot,rev_util_verifiability,43,label_only,CL,severe_error,严重错误,37,0.046954314720812185,788
cot_sft,cot,rev_util_verifiability,43,label_only,CL,invalid_format,格式无效,0,0.0,788
cot_sft,cot,rev_util_verifiability,43,cot,CC,correct,正确,400,0.5076142131979695,788
cot_sft,cot,rev_util_verifiability,43,cot,CC,adjacent_error,相邻错误,281,0.3565989847715736,788
cot_sft,cot,rev_util_verifiability,43,cot,CC,severe_error,严重错误,107,0.13578680203045684,788
cot_sft,cot,rev_util_verifiability,43,cot,CC,invalid_format,格式无效,0,0.0,788
cot_sft,cot,rev_util_verifiability,44,label_only,CL,correct,正确,364,0.4619289340101523,788
cot_sft,cot,rev_util_verifiability,44,label_only,CL,adjacent_error,相邻错误,384,0.4873096446700508,788
cot_sft,cot,rev_util_verifiability,44,label_only,CL,severe_error,严重错误,40,0.050761421319796954,788
cot_sft,cot,rev_util_verifiability,44,label_only,CL,invalid_format,格式无效,0,0.0,788
cot_sft,cot,rev_util_verifiability,44,cot,CC,correct,正确,408,0.5177664974619289,788
cot_sft,cot,rev_util_verifiability,44,cot,CC,adjacent_error,相邻错误,276,0.350253807106599,788
cot_sft,cot,rev_util_verifiability,44,cot,CC,severe_error,严重错误,104,0.1319796954314721,788
cot_sft,cot,rev_util_verifiability,44,cot,CC,invalid_format,格式无效,0,0.0,788
