pair,before_code,after_code,task,seed,n,strict_invalid_before,strict_invalid_after,relaxed_valid_before,relaxed_valid_after,relaxed_recovered_before,relaxed_recovered_after,correct_before,correct_after,accuracy_before,accuracy_after,accuracy_delta,gain_adjacent_to_correct,gain_severe_to_correct,gain_invalid_to_correct,accuracy_gain_count,loss_correct_to_adjacent,loss_correct_to_severe,loss_correct_to_invalid,accuracy_loss_count,accuracy_net_count,severe_before,severe_after,severe_rate_before,severe_rate_after,severe_rate_delta,correct_to_severe,severe_to_correct,sq_error_sum_before,sq_error_sum_after,sq_error_sum_delta,observed_before,observed_after,expected_before,expected_after,qwk_before,qwk_after,qwk_delta
label_only_sft,LL,LC,rev_util_verifiability,43,788,0,0,788,788,0,0,470,447,0.5964467005076142,0.567258883248731,-0.02918781725888325,66,4,0,70,78,15,0,93,-23,63,115,0.0799492385786802,0.14593908629441624,0.06598984771573604,15,4,546,736,190,0.6928934010152284,0.934010152284264,2.5328693086655156,2.732223839830967,0.7264393395092734,0.658150207655736,-0.06828913185353747
label_only_sft,LL,LC,rev_util_verifiability,44,788,0,0,788,788,0,0,481,440,0.6104060913705583,0.5583756345177665,-0.05203045685279188,76,2,0,78,109,10,0,119,-41,55,86,0.06979695431472081,0.10913705583756345,0.03934010152284264,10,2,516,651,135,0.6548223350253807,0.8261421319796954,2.6569964441237857,2.7329098920353525,0.7535479068955526,0.6977060479061676,-0.055841858989384985
cot_sft,CL,CC,rev_util_actionability,42,1000,0,0,1000,1000,0,0,522,500,0.522,0.5,-0.022,48,49,0,97,60,59,0,119,-22,124,141,0.124,0.141,0.017,59,49,936,990,54,0.936,0.99,4.015938,3.58395,0.7669286727036124,0.7237684677520613,-0.04316020495155115
cot_sft,CL,CC,rev_util_actionability,43,1000,28,0,1000,1000,28,0,514,493,0.514,0.493,-0.021,45,37,17,99,70,50,0,120,-21,121,146,0.121,0.146,0.025,50,37,916,1024,108,0.916,1.024,3.89407,3.654762,0.7647705357119928,0.7198175968777174,-0.044952938834275424
cot_sft,CL,CC,rev_util_actionability,44,1000,0,0,1000,1000,0,0,526,475,0.526,0.475,-0.051,41,44,0,85,75,61,0,136,-51,129,152,0.129,0.152,0.023,61,44,942,1070,128,0.942,1.07,3.944534,3.635002,0.7611885206211938,0.7056397768144281,-0.055548743806765666
cot_sft,CL,CC,rev_util_grounding_specificity,42,1000,0,0,1000,1000,0,0,561,693,0.561,0.693,0.132,147,48,0,195,29,34,0,63,132,175,206,0.175,0.206,0.031,34,48,1121,1031,-90,1.121,1.031,3.215776,3.34616,0.6514060680843442,0.6918856241183924,0.04047955603404818
cot_sft,CL,CC,rev_util_grounding_specificity,43,1000,0,0,1000,1000,0,0,559,682,0.559,0.682,0.123,159,41,0,200,30,47,0,77,123,144,220,0.144,0.22,0.076,47,41,955,1118,163,0.955,1.118,3.412396,3.36019,0.7201379910186274,0.6672807192450426,-0.05285727177358479
cot_sft,CL,CC,rev_util_grounding_specificity,44,1000,0,0,1000,1000,0,0,595,673,0.595,0.673,0.078,115,39,0,154,29,47,0,76,78,173,231,0.173,0.231,0.058,47,39,1026,1148,122,1.026,1.148,3.295374,3.38837,0.6886544592510592,0.6611940254458634,-0.027460433805195805
cot_sft,CL,CC,rev_util_helpfulness,42,1000,0,0,1000,1000,0,0,570,560,0.57,0.56,-0.01,142,1,0,143,151,2,0,153,-10,19,27,0.019,0.027,0.008,2,1,492,526,34,0.492,0.526,1.47944,1.56128,0.667441734710431,0.6630969460955114,-0.0043447886149196036
cot_sft,CL,CC,rev_util_helpfulness,43,1000,0,0,1000,1000,0,0,546,567,0.546,0.567,0.021,164,3,0,167,146,0,0,146,21,22,20,0.022,0.02,-0.002,0,3,525,498,-27,0.525,0.498,1.590912,1.545552,0.670000603427468,0.6777850243796391,0.007784420952171023
cot_sft,CL,CC,rev_util_helpfulness,44,1000,0,0,1000,1000,0,0,566,553,0.566,0.553,-0.013,152,0,0,152,163,2,0,165,-13,15,21,0.015,0.021,0.006,2,0,484,515,31,0.484,0.515,1.569216,1.533648,0.6915657245401525,0.6641993469166327,-0.02736637762351979
cot_sft,CL,CC,rev_util_verifiability,42,788,0,0,788,788,0,0,333,401,0.42258883248730966,0.5088832487309645,0.08629441624365482,200,2,0,202,119,15,0,134,68,34,112,0.04314720812182741,0.14213197969543148,0.09898477157360407,15,2,572,753,181,0.7258883248730964,0.9555837563451777,1.9433346646396454,2.7186090855213996,0.6264728159893661,0.6485026988858507,0.022029882896484554
cot_sft,CL,CC,rev_util_verifiability,43,788,0,0,788,788,0,0,369,400,0.4682741116751269,0.5076142131979695,0.03934010152284264,146,1,0,147,107,9,0,116,31,37,107,0.046954314720812185,0.13578680203045684,0.08883248730964467,9,1,550,761,211,0.6979695431472082,0.9657360406091371,2.2601812723852714,2.7988095544847846,0.6911886884140893,0.654947569025677,-0.036241119388412346
cot_sft,CL,CC,rev_util_verifiability,44,788,0,0,788,788,0,0,364,408,0.4619289340101523,0.5177664974619289,0.05583756345177665,155,4,0,159,103,12,0,115,44,40,104,0.050761421319796954,0.1319796954314721,0.08121827411167512,12,4,564,729,165,0.7157360406091371,0.9251269035532995,2.0987625293102115,2.7936883197196525,0.6589723560366908,0.668851067950867,0.00987871191417622
