pair,training_method,task,seed,from_category,to_category,count,rate,n
label_only_sft,label_only,rev_util_grounding_specificity,42,adjacent_error,adjacent_error,59,0.059,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,adjacent_error,severe_error,16,0.016,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,adjacent_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,severe_error,correct,36,0.036,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,severe_error,adjacent_error,20,0.02,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,severe_error,severe_error,119,0.119,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,severe_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,invalid_format,correct,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,invalid_format,adjacent_error,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,invalid_format,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,42,invalid_format,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,correct,correct,576,0.576,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,correct,adjacent_error,60,0.06,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,correct,severe_error,89,0.089,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,correct,invalid_format,1,0.001,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,adjacent_error,correct,33,0.033,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,adjacent_error,adjacent_error,71,0.071,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,adjacent_error,severe_error,22,0.022,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,adjacent_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,severe_error,correct,32,0.032,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,severe_error,adjacent_error,11,0.011,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,severe_error,severe_error,105,0.105,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,severe_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,invalid_format,correct,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,invalid_format,adjacent_error,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,invalid_format,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,43,invalid_format,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,correct,correct,582,0.582,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,correct,adjacent_error,65,0.065,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,correct,severe_error,54,0.054,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,correct,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,adjacent_error,correct,40,0.04,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,adjacent_error,adjacent_error,61,0.061,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,adjacent_error,severe_error,15,0.015,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,adjacent_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,severe_error,correct,27,0.027,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,severe_error,adjacent_error,19,0.019,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,severe_error,severe_error,137,0.137,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,severe_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,invalid_format,correct,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,invalid_format,adjacent_error,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,invalid_format,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_grounding_specificity,44,invalid_format,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,42,correct,correct,498,0.498,1000
cot_sft,cot,rev_util_grounding_specificity,42,correct,adjacent_error,29,0.029,1000
cot_sft,cot,rev_util_grounding_specificity,42,correct,severe_error,34,0.034,1000
cot_sft,cot,rev_util_grounding_specificity,42,correct,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,42,adjacent_error,correct,147,0.147,1000
cot_sft,cot,rev_util_grounding_specificity,42,adjacent_error,adjacent_error,61,0.061,1000
cot_sft,cot,rev_util_grounding_specificity,42,adjacent_error,severe_error,56,0.056,1000
cot_sft,cot,rev_util_grounding_specificity,42,adjacent_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,42,severe_error,correct,48,0.048,1000
cot_sft,cot,rev_util_grounding_specificity,42,severe_error,adjacent_error,11,0.011,1000
cot_sft,cot,rev_util_grounding_specificity,42,severe_error,severe_error,116,0.116,1000
cot_sft,cot,rev_util_grounding_specificity,42,severe_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,42,invalid_format,correct,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,42,invalid_format,adjacent_error,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,42,invalid_format,severe_error,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,42,invalid_format,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,43,correct,correct,482,0.482,1000
cot_sft,cot,rev_util_grounding_specificity,43,correct,adjacent_error,30,0.03,1000
cot_sft,cot,rev_util_grounding_specificity,43,correct,severe_error,47,0.047,1000
cot_sft,cot,rev_util_grounding_specificity,43,correct,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,43,adjacent_error,correct,159,0.159,1000
cot_sft,cot,rev_util_grounding_specificity,43,adjacent_error,adjacent_error,60,0.06,1000
cot_sft,cot,rev_util_grounding_specificity,43,adjacent_error,severe_error,78,0.078,1000
cot_sft,cot,rev_util_grounding_specificity,43,adjacent_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,43,severe_error,correct,41,0.041,1000
cot_sft,cot,rev_util_grounding_specificity,43,severe_error,adjacent_error,8,0.008,1000
cot_sft,cot,rev_util_grounding_specificity,43,severe_error,severe_error,95,0.095,1000
cot_sft,cot,rev_util_grounding_specificity,43,severe_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,43,invalid_format,correct,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,43,invalid_format,adjacent_error,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,43,invalid_format,severe_error,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,43,invalid_format,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,44,correct,correct,519,0.519,1000
cot_sft,cot,rev_util_grounding_specificity,44,correct,adjacent_error,29,0.029,1000
cot_sft,cot,rev_util_grounding_specificity,44,correct,severe_error,47,0.047,1000
cot_sft,cot,rev_util_grounding_specificity,44,correct,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,44,adjacent_error,correct,115,0.115,1000
cot_sft,cot,rev_util_grounding_specificity,44,adjacent_error,adjacent_error,63,0.063,1000
cot_sft,cot,rev_util_grounding_specificity,44,adjacent_error,severe_error,54,0.054,1000
cot_sft,cot,rev_util_grounding_specificity,44,adjacent_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,44,severe_error,correct,39,0.039,1000
cot_sft,cot,rev_util_grounding_specificity,44,severe_error,adjacent_error,4,0.004,1000
cot_sft,cot,rev_util_grounding_specificity,44,severe_error,severe_error,130,0.13,1000
cot_sft,cot,rev_util_grounding_specificity,44,severe_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,44,invalid_format,correct,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,44,invalid_format,adjacent_error,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,44,invalid_format,severe_error,0,0.0,1000
cot_sft,cot,rev_util_grounding_specificity,44,invalid_format,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,42,correct,correct,519,0.519,1000
label_only_sft,label_only,rev_util_helpfulness,42,correct,adjacent_error,96,0.096,1000
label_only_sft,label_only,rev_util_helpfulness,42,correct,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,42,correct,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,42,adjacent_error,correct,83,0.083,1000
label_only_sft,label_only,rev_util_helpfulness,42,adjacent_error,adjacent_error,276,0.276,1000
label_only_sft,label_only,rev_util_helpfulness,42,adjacent_error,severe_error,8,0.008,1000
label_only_sft,label_only,rev_util_helpfulness,42,adjacent_error,invalid_format,1,0.001,1000
label_only_sft,label_only,rev_util_helpfulness,42,severe_error,correct,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,42,severe_error,adjacent_error,4,0.004,1000
label_only_sft,label_only,rev_util_helpfulness,42,severe_error,severe_error,13,0.013,1000
label_only_sft,label_only,rev_util_helpfulness,42,severe_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,42,invalid_format,correct,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,42,invalid_format,adjacent_error,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,42,invalid_format,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,42,invalid_format,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,43,correct,correct,522,0.522,1000
label_only_sft,label_only,rev_util_helpfulness,43,correct,adjacent_error,70,0.07,1000
label_only_sft,label_only,rev_util_helpfulness,43,correct,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,43,correct,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,43,adjacent_error,correct,82,0.082,1000
label_only_sft,label_only,rev_util_helpfulness,43,adjacent_error,adjacent_error,296,0.296,1000
label_only_sft,label_only,rev_util_helpfulness,43,adjacent_error,severe_error,17,0.017,1000
label_only_sft,label_only,rev_util_helpfulness,43,adjacent_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,43,severe_error,correct,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,43,severe_error,adjacent_error,4,0.004,1000
label_only_sft,label_only,rev_util_helpfulness,43,severe_error,severe_error,9,0.009,1000
label_only_sft,label_only,rev_util_helpfulness,43,severe_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,43,invalid_format,correct,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,43,invalid_format,adjacent_error,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,43,invalid_format,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,43,invalid_format,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,44,correct,correct,518,0.518,1000
label_only_sft,label_only,rev_util_helpfulness,44,correct,adjacent_error,87,0.087,1000
label_only_sft,label_only,rev_util_helpfulness,44,correct,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,44,correct,invalid_format,1,0.001,1000
label_only_sft,label_only,rev_util_helpfulness,44,adjacent_error,correct,77,0.077,1000
label_only_sft,label_only,rev_util_helpfulness,44,adjacent_error,adjacent_error,297,0.297,1000
label_only_sft,label_only,rev_util_helpfulness,44,adjacent_error,severe_error,7,0.007,1000
label_only_sft,label_only,rev_util_helpfulness,44,adjacent_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,44,severe_error,correct,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,44,severe_error,adjacent_error,4,0.004,1000
label_only_sft,label_only,rev_util_helpfulness,44,severe_error,severe_error,9,0.009,1000
label_only_sft,label_only,rev_util_helpfulness,44,severe_error,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,44,invalid_format,correct,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,44,invalid_format,adjacent_error,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,44,invalid_format,severe_error,0,0.0,1000
label_only_sft,label_only,rev_util_helpfulness,44,invalid_format,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,42,correct,correct,417,0.417,1000
cot_sft,cot,rev_util_helpfulness,42,correct,adjacent_error,151,0.151,1000
cot_sft,cot,rev_util_helpfulness,42,correct,severe_error,2,0.002,1000
cot_sft,cot,rev_util_helpfulness,42,correct,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,42,adjacent_error,correct,142,0.142,1000
cot_sft,cot,rev_util_helpfulness,42,adjacent_error,adjacent_error,253,0.253,1000
cot_sft,cot,rev_util_helpfulness,42,adjacent_error,severe_error,16,0.016,1000
cot_sft,cot,rev_util_helpfulness,42,adjacent_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,42,severe_error,correct,1,0.001,1000
cot_sft,cot,rev_util_helpfulness,42,severe_error,adjacent_error,9,0.009,1000
cot_sft,cot,rev_util_helpfulness,42,severe_error,severe_error,9,0.009,1000
cot_sft,cot,rev_util_helpfulness,42,severe_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,42,invalid_format,correct,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,42,invalid_format,adjacent_error,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,42,invalid_format,severe_error,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,42,invalid_format,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,43,correct,correct,400,0.4,1000
cot_sft,cot,rev_util_helpfulness,43,correct,adjacent_error,146,0.146,1000
cot_sft,cot,rev_util_helpfulness,43,correct,severe_error,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,43,correct,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,43,adjacent_error,correct,164,0.164,1000
cot_sft,cot,rev_util_helpfulness,43,adjacent_error,adjacent_error,256,0.256,1000
cot_sft,cot,rev_util_helpfulness,43,adjacent_error,severe_error,12,0.012,1000
cot_sft,cot,rev_util_helpfulness,43,adjacent_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,43,severe_error,correct,3,0.003,1000
cot_sft,cot,rev_util_helpfulness,43,severe_error,adjacent_error,11,0.011,1000
cot_sft,cot,rev_util_helpfulness,43,severe_error,severe_error,8,0.008,1000
cot_sft,cot,rev_util_helpfulness,43,severe_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,43,invalid_format,correct,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,43,invalid_format,adjacent_error,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,43,invalid_format,severe_error,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,43,invalid_format,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,44,correct,correct,401,0.401,1000
cot_sft,cot,rev_util_helpfulness,44,correct,adjacent_error,163,0.163,1000
cot_sft,cot,rev_util_helpfulness,44,correct,severe_error,2,0.002,1000
cot_sft,cot,rev_util_helpfulness,44,correct,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,44,adjacent_error,correct,152,0.152,1000
cot_sft,cot,rev_util_helpfulness,44,adjacent_error,adjacent_error,254,0.254,1000
cot_sft,cot,rev_util_helpfulness,44,adjacent_error,severe_error,13,0.013,1000
cot_sft,cot,rev_util_helpfulness,44,adjacent_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,44,severe_error,correct,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,44,severe_error,adjacent_error,9,0.009,1000
cot_sft,cot,rev_util_helpfulness,44,severe_error,severe_error,6,0.006,1000
cot_sft,cot,rev_util_helpfulness,44,severe_error,invalid_format,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,44,invalid_format,correct,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,44,invalid_format,adjacent_error,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,44,invalid_format,severe_error,0,0.0,1000
cot_sft,cot,rev_util_helpfulness,44,invalid_format,invalid_format,0,0.0,1000
label_only_sft,label_only,rev_util_verifiability,42,correct,correct,366,0.46446700507614214,788
label_only_sft,label_only,rev_util_verifiability,42,correct,adjacent_error,104,0.1319796954314721,788
label_only_sft,label_only,rev_util_verifiability,42,correct,severe_error,10,0.012690355329949238,788
label_only_sft,label_only,rev_util_verifiability,42,correct,invalid_format,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,42,adjacent_error,correct,67,0.0850253807106599,788
label_only_sft,label_only,rev_util_verifiability,42,adjacent_error,adjacent_error,139,0.17639593908629442,788
label_only_sft,label_only,rev_util_verifiability,42,adjacent_error,severe_error,42,0.0532994923857868,788
label_only_sft,label_only,rev_util_verifiability,42,adjacent_error,invalid_format,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,42,severe_error,correct,4,0.005076142131979695,788
label_only_sft,label_only,rev_util_verifiability,42,severe_error,adjacent_error,8,0.01015228426395939,788
label_only_sft,label_only,rev_util_verifiability,42,severe_error,severe_error,48,0.06091370558375635,788
label_only_sft,label_only,rev_util_verifiability,42,severe_error,invalid_format,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,42,invalid_format,correct,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,42,invalid_format,adjacent_error,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,42,invalid_format,severe_error,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,42,invalid_format,invalid_format,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,43,correct,correct,377,0.4784263959390863,788
label_only_sft,label_only,rev_util_verifiability,43,correct,adjacent_error,78,0.09898477157360407,788
label_only_sft,label_only,rev_util_verifiability,43,correct,severe_error,15,0.01903553299492386,788
label_only_sft,label_only,rev_util_verifiability,43,correct,invalid_format,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,43,adjacent_error,correct,66,0.08375634517766498,788
label_only_sft,label_only,rev_util_verifiability,43,adjacent_error,adjacent_error,140,0.17766497461928935,788
label_only_sft,label_only,rev_util_verifiability,43,adjacent_error,severe_error,49,0.06218274111675127,788
label_only_sft,label_only,rev_util_verifiability,43,adjacent_error,invalid_format,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,43,severe_error,correct,4,0.005076142131979695,788
label_only_sft,label_only,rev_util_verifiability,43,severe_error,adjacent_error,8,0.01015228426395939,788
label_only_sft,label_only,rev_util_verifiability,43,severe_error,severe_error,51,0.06472081218274112,788
label_only_sft,label_only,rev_util_verifiability,43,severe_error,invalid_format,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,43,invalid_format,correct,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,43,invalid_format,adjacent_error,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,43,invalid_format,severe_error,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,43,invalid_format,invalid_format,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,44,correct,correct,362,0.4593908629441624,788
label_only_sft,label_only,rev_util_verifiability,44,correct,adjacent_error,109,0.1383248730964467,788
label_only_sft,label_only,rev_util_verifiability,44,correct,severe_error,10,0.012690355329949238,788
label_only_sft,label_only,rev_util_verifiability,44,correct,invalid_format,0,0.0,788
label_only_sft,label_only,rev_util_verifiability,44,adjacent_error,correct,76,0.09644670050761421,788
label_only_sft,label_only,rev_util_verifiability,44,adjacent_error,adjacent_error,143,0.1814720812182741,788
